1;1
5;3
3;7
8;5
10;10
12;12
14;14
29;16
23;31
70;25
91;72
75;93
131;77
132;133
138;134
192;140
211;194
230;213
242;232
246;244
304;248
313;306
359;315
364;361
399;366
417;401
420;419
447;422
439;449
455;441
465;457
469;467
437;471
498;439
499;500
488;501
516;490
524;518
534;526
546;536
567;548
554;569
574;556
614;576
682;616
833;684
832;835
942;834
1032;944
1062;1034
1105;1064
1223;1107
1265;1225
1431;1267
1463;1433
1527;1465
1660;1529
1740;1662
1737;1742
1789;1739
2054;1791
2101;2056
2113;2103
2082;2115
2130;2084
2357;2132
2381;2359
2391;2383
2415;2393
2461;2417
2544;2463
2795;2546
2844;2797
2985;2846
3014;2987
3016;3016
3037;3018
3165;3039
3419;3167
3471;3421
3489;3473
3643;3491
3662;3645
3740;3664
3772;3742
3930;3774
3952;3932
4008;3954
4066;4010
4100;4068
4101;4102
4134;4103
4150;4136
4181;4152
4194;4183
4210;4196
4277;4212
4282;4279
4288;4284
4413;4290
4465;4415
4635;4467
4712;4637
4707;4714
4873;4709
4936;4875
4972;4938
5044;4974
5059;5046
5074;5061
5084;5076
5078;5086
5060;5080
5149;5062
5198;5151
5339;5200
4134;5341
5529;4136
5542;5531
5557;5544
5571;5559
5622;5573
5810;5624
5812;5812
5916;5814
5960;5918
6032;5962
6145;6034
6177;6147
6206;6179
6333;6208
6414;6335
6517;6416
6548;6519
6589;6550
6668;6591
6684;6670
6689;6686
6731;6691
6745;6733
6753;6747
6780;6755
6809;6782
6826;6811
6761;6828
6886;6763
6895;6888
6864;6897
7047;6866
7108;7049
7145;7110
7162;7147
7183;7164
7194;7185
7264;7196
7338;7266
7361;7340
7476;7363
7507;7478
7558;7509
7610;7560
7613;7612
7819;7615
7832;7821
7880;7834
7610;7882
8133;7612
8329;8135
8395;8331
8443;8397
8523;8445
8536;8525
8550;8538
8634;8552
8663;8636
8710;8665
8775;8712
8827;8777
8879;8829
8874;8881
8891;8876
8950;8893
9018;8952
9062;9020
9369;9064
9440;9371
9611;9442
9652;9613
9796;9654
9878;9798
9893;9880
9899;9895
9932;9901
9937;9934
9968;9939
9976;9970
10040;9978
10057;10042
10060;10059
10071;10062
10155;10073
10146;10157
10195;10148
10208;10197
10267;10210
10247;10269
10281;10249
10307;10283
10323;10309
10418;10325
10726;10420
10747;10728
10806;10749
10821;10808
11000;10823
8950;11002
11071;8952
11130;11073
11157;11132
11193;11159
11237;11195
11293;11239
11358;11295
11370;11360
11362;11372
11387;11364
11401;11389
11439;11403
11508;11441
11521;11510
11541;11523
11565;11543
11652;11567
11656;11654
11723;11658
11833;11725
11841;11835
11865;11843
11870;11867
11904;11872
11909;11906
11908;11911
11960;11910
11979;11962
11984;11981
12027;11986
12136;12029
12190;12138
12224;12192
12253;12226
12255;12255
12281;12257
12278;12283
12304;12280
12349;12306
12364;12351
12408;12366
12486;12410
12465;12488
12499;12467
12494;12501
12512;12496
12543;12514
12532;12545
12570;12534
12651;12572
12645;12653
12675;12647
12752;12677
12763;12754
12881;12765
12945;12883
12952;12947
12938;12954
13025;12940
13055;13027
13059;13057
13086;13061
13075;13088
13099;13077
13134;13101
13140;13136
13158;13142
13201;13160
13257;13203
13367;13259
13372;13369
13386;13374
13427;13388
13422;13429
13442;13424
13472;13444
13496;13474
13501;13498
13571;13503
13556;13573
13597;13558
13579;13599
13626;13581
13674;13628
13662;13676
13690;13664
13688;13692
13741;13690
13823;13743
13802;13825
13858;13804
13992;13860
14029;13994
14109;14031
14142;14111
14218;14144
14341;14220
14358;14343
14406;14360
14417;14408
