15324;;USA
15361;;Soviet Union
15384;;Germany
15400;;USA
15498;English;USA
15493;English;UK
15532;;Germany
15589;English;USA
15634;English;USA
15624;;USA
15648;Russian;Soviet Union
15693;;USA
15684;English;USA
15687;English;USA
15758;English;USA
15768;Danish;Denmark
15801;French;France
15842;German;Germany
15841;English;USA
15863;English;USA
15873;;USA
15881;English;USA
15864;English;USA
15977;Russian;Soviet Union
16013;;USA
16004;English;USA
16039;;USA
16022;;USA
16029;English;USA
16123;English;USA
16129;English;USA
16104;;USA
16220;;USA
16201;English;USA
16226;English;USA
16230;English;UK, Germany
16232;;France
16258;English, Yiddish;USA
16276;English;USA
16310;;USA
16332;English;USA
16392;;Austria
16394;;USA
16480;English;USA
16481;German;Germany
16473;English;USA
16493;French;France
16544;;USA
16627;English;USA
16629;English;USA
16634;English;USA
16630;English;USA
16641;English;USA
16655;English;USA
16640;English;USA
16669;;USA
16690;English;USA
16691;;Norway
16672;English;USA
16654;;USA
16804;English;USA
16829;English;USA
16832;English;USA
16822;English;USA
16847;German;Germany
16884;;USA
16895;English;USA
16914;German;Germany
16938;;USA
16939;English;USA
16953;German;Germany
17029;English;USA
17048;;Japan
17075;English;UK
17103;English;USA
17128;;Soviet Union
17119;English;USA
17120;English;USA
17136;German;Germany
17162;;USA
17196;French;France
17226;;USA
17271;Russian;Soviet Union
17350;English;USA
17376;;Soviet Union
17374;;USA
17372;;Soviet Union
17423;English;USA
17416;English;USA
17418;;Soviet Union
17448;German;Germany
17437;English;USA
17449;English;USA
17463;English;USA
17534;;USA
17540;;USA
17567;English, Spanish;USA
17632;English;USA
17621;German;Germany
17668;;Germany
17739;English;USA
17750;English;USA
17743;;USA
17765;English;USA
17775;;France
17813;;USA
17809;;Soviet Union
17825;;UK
17843;English;UK
17925;English;USA
17918;English;USA
17961;;Soviet Union
17998;English;UK
18033;;USA
18037;English;USA
18051;English;USA
18054;English;USA
18066;;Soviet Union
18097;;USA
18107;;USA
18102;;USA
18166;English;USA
18179;English, Mandarin;USA
18183;English;USA
18187;French;France
18192;;France
18217;;Soviet Union
18218;;USA
18253;;USA
18311;English;USA
18328;;UK
18379;English;USA
18397;English;USA
18392;English;UK
18440;English;USA
18471;English;USA
18451;English;USA
18455;;USA
18515;English;USA
18523;French;France, Germany
18526;English;USA
18528;English;USA
18530;English;USA
18566;English;USA
18578;English;USA
18618;English;USA
18742;English;USA
18756;English;UK
18737;German;Germany
18773;;USA
18770;French;France
18806;;USA
18795;English;USA
18826;French;France
18839;English;USA
18836;;USA
18876;English;UK
18873;;USA
18909;English;USA
18908;English;USA
18935;German;Germany
18937;;USA
18972;;USA
19071;English;USA
19067;English;USA
19074;;USA
19096;English;USA
19109;English;USA
19130;English;USA
19195;English;USA
19225;Russian;Soviet Union
19237;English;USA
19258;English;USA
19254;French;France
19286;Russian;Soviet Union
19304;English;USA
19278;English;USA
19344;;USA
19379;;USA
19400;English;USA
19403;Georgian;Soviet Union
19421;English;USA
19415;German;Germany
19429;;USA
19412;English;USA
19422;English;USA
19434;English;USA
19451;English;USA
19489;English;USA
19504;English;USA
19486;French;France
19509;English;UK
19563;English;USA
19557;English;USA
19558;;USA
19574;English;USA
19571;English;USA
19532;English;USA
19585;English;USA
19607;English;USA
19611;;Soviet Union
19630;English;USA
19591;English;USA
19640;English;USA
19644;English;USA
19646;French;France
19649;Russian, Ukrainian;Soviet Union
19655;German;Germany
19684;English;USA
19686;English;USA
19699;English;USA
19702;English;UK
19725;English;USA
19715;English;USA
19726;English;USA
19729;English;USA
19735;English;USA
19760;;Soviet Union
19777;English;USA
19788;English;USA
19813;English;USA
19823;English;USA
19824;English;USA
19850;Czech;Czechoslovakia
19843;English;USA
19901;German;Germany
19886;English;USA
19935;English;USA
19959;English;USA
19946;German, English;USA
19968;English;USA
19993;English;USA
20030;English;USA
20018;English, Spanish, Italian;USA
20062;English;USA
20075;;Norway
20092;English;USA
20103;English;USA
20112;English, French;USA
20094;English;USA
20122;English;USA
20114;English;USA
20142;English;UK
20163;;Germany
20210;English;USA
20223;English;USA
20217;English;USA
20230;Russian;Soviet Union
20198;English;USA
20247;English;USA
20298;;USA
20269;English;UK
20336;English;USA
20321;Dutch;Netherlands
20414;English;USA
20425;English;USA
20439;;USA
20446;English;USA
20442;English;USA
20466;English;USA
20488;English;USA
20475;German;Germany
20499;English;USA
20479;English;USA
20514;English;USA
20523;Russian;Soviet Union
20530;French;France
20570;German;Germany
20556;English;USA
20581;English;USA
20585;English;USA
20589;English;USA
20590;English;USA
20594;English;USA
20640;English;USA
20620;English;USA
20629;English, French, German, Latin;USA
20656;French;France
20668;English;USA
20686;English, Russian;USA
20691;English;USA
20695;English;USA
20641;English;USA
20701;;UK
20702;English;USA
20693;English;USA
20697;German, English, French;Germany
20713;English;USA
20336;English;USA
20768;English;USA
20814;French;France
20815;English, German, French;USA
20793;;Sweden, UK
20827;English, French;USA
20821;English;USA
20799;English;USA
20836;English;USA
20838;English, German, French;USA
20852;English;UK
20876;English;USA
20891;English;USA
20902;English, German;USA
20919;English;USA
20945;English, French;USA
20980;;Japan
20960;English, German, French;USA
20987;English;USA
21004;English;USA
21015;English;UK
21040;English;USA
21025;English;USA
21042;English;USA
21060;English;USA
21016;English;USA
21079;English;USA
21074;English;USA
21087;English;USA
21106;English;USA
21100;English, Yiddish;USA
21110;English;USA
21140;English;USA
21156;English, French, Spanish, Arabic, Italian;USA
21148;English;USA
21153;English, French;USA
21165;English;UK
21189;English;USA
21197;English;USA
21223;English;USA
21228;English;USA
21240;English;USA
21281;English;USA
21273;French;France
21282;English;USA
21294;English;USA
21283;Japanese;Japan
21310;English;USA
21331;French;France
21309;French;France
21345;English;USA
21371;English;USA
21394;English;USA
21375;;Soviet Union
21406;;Japan
21408;English;USA
21409;French, Romanian;France
21413;English;USA
21424;English;USA
21472;English;USA
21505;English;USA
21508;English;USA
21542;German;Germany
21549;English;USA
21568;English;USA
21551;English;USA
21577;French;France
21550;English;USA
21571;;Soviet Union
21576;;France
21595;English, French;USA
21607;English;USA
13442;German;Germany
