1;5,9;1032
3;6,2;1189
7;6,7;566
5;5,9;988
10;6,9;3469
12;7,3;5043
14;7,1;2554
16;5,9;1669
31;5,5;599
25;6,4;1359
72;6,8;1135
93;6,3;759
77;5,9;498
133;5,1;462
134;6,5;329
140;4,7;83
194;7,6;1057
213;6,6;586
232;6,3;388
244;6,6;580
248;6,1;555
306;5,9;378
315;7,2;1439
361;5,6;87
366;6,2;442
401;8,2;23904
419;6,3;1572
422;6,4;1158
449;7,4;9847
441;6,9;1121
457;7,3;574
467;5,9;468
471;5,3;86
439;6,7;666
500;7,7;2022
501;7,1;448
490;6,7;481
518;5,7;466
526;6,8;467
536;6,7;1082
548;6,8;424
569;6,2;625
556;6,3;285
576;6,5;442
616;6,9;1245
684;6,6;294
835;6,6;1375
834;6,1;446
944;6,1;428
1034;6,3;626
1064;6,6;429
1107;6,5;2149
1225;6,5;331
1267;6,5;343
1433;5,7;1030
1465;7,9;1593
1529;5,7;135
1662;6,6;662
1742;7,3;1034
1739;6,4;149
1791;5,6;75
2056;5,1;291
2103;6,9;458
2115;6,1;210
2084;6,9;1048
2132;6,1;103
2359;6,7;1226
2383;6,5;468
2393;6;306
2417;5,6;173
2463;6;94
2546;6,2;336
2797;6,8;1337
2846;6,1;175
2987;7;493
3016;5,7;37
3018;6,6;909
3039;6,7;682
3167;6,5;994
3421;6;371
3473;6,1;358
3491;7;788
3645;6,4;485
3664;6,6;2017
3742;6,9;753
3774;6,6;770
3932;6,5;575
3954;7,3;1837
4010;6,7;258
4068;6;483
4102;6,1;673
4103;5,9;257
4136;5,8;223
4152;7,7;897
4183;5,9;720
4196;5,7;739
4212;5,7;433
4279;5,8;665
4284;5,5;1115
4290;6,9;66
4415;7,6;744
4467;6,2;619
4637;6,6;47
4714;7,3;2481
4709;6,3;219
4875;6,7;1094
4938;6,8;15715
4974;5,9;979
5046;5,2;16
5061;6,9;1281
5076;6,2;45
5086;6,5;1660
5080;7;627
5062;6,1;146
5151;6;190
5200;5,9;438
5341;5,9;261
4136;6,9;128
5531;5,8;822
5544;6,4;175
5559;6;692
5573;6,9;104
5624;6,1;935
5812;6,6;979
5814;6,5;490
5918;6,8;626
5962;6,3;789
6034;5,5;99
6147;7,1;1907
6179;6,8;2878
6208;7,1;1069
6335;7;1481
6416;6,3;162
6519;6,8;1248
6550;7,1;74
6591;7;244
6670;6,5;1422
6686;6,8;1365
6691;6,9;504
6733;6,9;405
6747;6,9;38
6755;6,4;531
6782;6,2;68
6811;7,1;693
6828;6,4;30
6763;6,2;576
6888;5,9;34
6897;8;9880
6866;7;496
7049;7;586
7110;7,3;1964
7147;7,2;1982
7164;6,3;275
7185;6,6;876
7196;7,2;2091
7266;5,7;39
7340;6,1;259
7363;5,4;608
7478;7;1563
7509;5,9;247
7560;5,6;135
7612;7,5;2187
7615;6,4;911
7821;7,3;2055
7834;7,7;3057
7882;5,5;140
7612;7,8;4680
8135;;
8331;6,5;226
8397;6,9;884
8445;5,8;648
8525;6,7;52
8538;6,3;65
8552;6,1;245
8636;7,2;802
8665;7;74
8712;6,9;388
8777;7;613
8829;7;932
8881;6,8;651
8876;6,6;446
8893;6,2;148
8952;7,8;4304
9020;5,9;356
9064;7,5;794
9371;6,4;122
9442;6,7;3724
9613;7,7;1048
9654;6,5;181
9798;6,7;622
9880;6,9;916
9895;6,7;660
9901;6,2;491
9934;6,7;858
9939;7,7;6610
9970;7,1;531
9978;7,8;1076
10042;6,8;1814
10059;7,2;660
